"scenario_id","scenario_group","fitted_model","fitted_model_label","parameter","true_value","n_reps","n_success","success_rate","mean_estimate","bias","mse","empirical_sd"
"S2","sample_size","clayton","Clayton copula","scale",0.06,1000,1000,1,0.0596167177624641,-0.000383282237535873,3.24700449849668e-05,0.005688189097293
"S2","sample_size","clayton","Clayton copula","shape",1,1000,1000,1,1.00196275742874,0.00196275742873599,0.000629915990023236,0.0250337824461814
"S3","spatial_dependence","direct","Chi-square transformation","mean",0.2,1000,1000,1,0.197912657883512,-0.00208734211648823,0.00798419458069845,0.0893746351544787
"S3","spatial_dependence","direct","Chi-square transformation","mean1",-0.2,1000,1000,1,-0.203771304895125,-0.00377130489512499,0.0115146367380026,0.107293643443188
"S3","spatial_dependence","direct","Chi-square transformation","scale",0.08,1000,1000,1,0.0509872772942981,-0.0290127227057019,0.000892027008281635,0.00709501717774081
"S3","spatial_dependence","direct","Chi-square transformation","shape",1,1000,1000,1,0.99457176770808,-0.00542823229192014,0.00139912872727317,0.0370274770341383
"S3","spatial_dependence","gaussian","Gaussian copula","mean",0.2,1000,918,0.918,0.197817561816986,-0.00218243818301387,0.00792629872004123,0.0890515256333359
"S3","spatial_dependence","gaussian","Gaussian copula","mean1",-0.2,1000,918,0.918,-0.204723965026927,-0.00472396502692719,0.0108472088109178,0.10409946035823
"S3","spatial_dependence","gaussian","Gaussian copula","scale",0.08,1000,918,0.918,0.0196906741110021,-0.0603093258889979,0.00370993182459312,0.00853207678392633
"S3","spatial_dependence","gaussian","Gaussian copula","shape",1,1000,918,0.918,1.00636804090458,0.00636804090457542,0.00148383040996954,0.0380112138489852
"S3","spatial_dependence","clayton","Clayton copula","mean",0.2,1000,1000,1,0.197258829766434,-0.00274117023356572,0.00739430562405112,0.0859894516530797
"S3","spatial_dependence","clayton","Clayton copula","mean1",-0.2,1000,1000,1,-0.206187185547528,-0.00618718554752824,0.00949244622914694,0.0972811831380568
"S3","spatial_dependence","clayton","Clayton copula","scale",0.08,1000,1000,1,0.0792655863035515,-0.00073441369644851,0.000114302636224655,0.0106713237181252
"S3","spatial_dependence","clayton","Clayton copula","shape",1,1000,1000,1,1.00508480489925,0.00508480489925037,0.00139982700985808,0.0370856726528015
"S4","spatial_dependence","direct","Chi-square transformation","mean",0.2,1000,1000,1,0.195402841926112,-0.00459715807388766,0.0106759736768006,0.103273933399305
"S4","spatial_dependence","direct","Chi-square transformation","mean1",-0.2,1000,1000,1,-0.193138791491551,0.00686120850844929,0.00589405803505241,0.076503821391768
"S4","spatial_dependence","direct","Chi-square transformation","scale",0.12,1000,1000,1,0.0707232310159932,-0.0492767689840068,0.00254582121496945,0.0108507599945228
"S4","spatial_dependence","direct","Chi-square transformation","shape",1,1000,1000,1,0.994031694147969,-0.0059683058520306,0.00174298617398747,0.0413409551633475
"S4","spatial_dependence","gaussian","Gaussian copula","mean",0.2,1000,981,0.981,0.192996447725486,-0.00700355227451354,0.0106260453926464,0.102896980037739
"S4","spatial_dependence","gaussian","Gaussian copula","mean1",-0.2,1000,981,0.981,-0.19410781406904,0.00589218593095958,0.00655257369803592,0.0807744186998588
"S4","spatial_dependence","gaussian","Gaussian copula","scale",0.12,1000,981,0.981,0.0298846140258623,-0.0901153859741377,0.00813733539956665,0.00407056515947318
"S4","spatial_dependence","gaussian","Gaussian copula","shape",1,1000,981,0.981,1.0124073875373,0.0124073875373043,0.00212932952851193,0.0444679880732135
"S4","spatial_dependence","clayton","Clayton copula","mean",0.2,1000,932,0.932,0.193008418771164,-0.00699158122883595,0.00965452310894551,0.0980609935338927
"S4","spatial_dependence","clayton","Clayton copula","mean1",-0.2,1000,932,0.932,-0.195062990625684,0.00493700937431645,0.00499408975103973,0.070534060778892
"S4","spatial_dependence","clayton","Clayton copula","scale",0.12,1000,932,0.932,0.118102453455421,-0.00189754654457867,0.000344529962542008,0.018474184055497
"S4","spatial_dependence","clayton","Clayton copula","shape",1,1000,932,0.932,1.00831835370595,0.00831835370594957,0.00175559095871302,0.0410878002768803
"S5","marginal_skewness","direct","Chi-square transformation","mean",0.2,1000,999,0.999,0.198952633797899,-0.0010473662021009,0.000854056264282187,0.0292200950879092
"S5","marginal_skewness","direct","Chi-square transformation","mean1",-0.2,1000,999,0.999,-0.200914631409564,-0.000914631409563535,0.00139353838339173,0.0373376127463284
"S5","marginal_skewness","direct","Chi-square transformation","scale",0.06,1000,999,0.999,0.039240582996469,-0.020759417003531,0.000459243658134809,0.00532152335013585
"S5","marginal_skewness","direct","Chi-square transformation","shape",3,1000,999,0.999,2.98463407071755,-0.0153659292824534,0.0102700946177489,0.100219942756183
"S5","marginal_skewness","gaussian","Gaussian copula","mean",0.2,1000,907,0.907,0.200360066214601,0.000360066214601306,0.000857872545591677,0.0293034065255764
"S5","marginal_skewness","gaussian","Gaussian copula","mean1",-0.2,1000,907,0.907,-0.20110837649482,-0.00110837649481996,0.00140421723289483,0.0374771568709205
"S5","marginal_skewness","gaussian","Gaussian copula","scale",0.06,1000,907,0.907,0.0176040431977729,-0.0423959568022271,0.00180951221003596,0.00347971361063555
"S5","marginal_skewness","gaussian","Gaussian copula","shape",3,1000,907,0.907,3.0078747851584,0.00787478515839654,0.01026338230469,0.101057557133329
"S5","marginal_skewness","clayton","Clayton copula","mean",0.2,1000,1000,1,0.199991671167857,-8.32883214344287e-06,0.000798030581405173,0.0282635691549582
"S5","marginal_skewness","clayton","Clayton copula","mean1",-0.2,1000,1000,1,-0.201027112492022,-0.00102711249202231,0.00121663544196289,0.0348826214492373
"S5","marginal_skewness","clayton","Clayton copula","scale",0.06,1000,1000,1,0.0595794923568574,-0.000420507643142557,5.81789082367562e-05,0.00761972057890021
"S5","marginal_skewness","clayton","Clayton copula","shape",3,1000,1000,1,3.00987274452397,0.00987274452397063,0.0100919186165039,0.100022257443293
"S6","marginal_skewness","direct","Chi-square transformation","mean",0.2,1000,890,0.89,0.199485228250118,-0.000514771749881842,8.22001126376749e-05,0.00905689175023808
"S6","marginal_skewness","direct","Chi-square transformation","mean1",-0.2,1000,890,0.89,-0.199925990033857,7.40099661434315e-05,0.000127973662209045,0.0113186629487986
"S6","marginal_skewness","direct","Chi-square transformation","scale",0.06,1000,890,0.89,0.0397577847554745,-0.0202422152445255,0.000438955253511771,0.00540747911430609
"S6","marginal_skewness","direct","Chi-square transformation","shape",10,1000,890,0.89,9.96220889974201,-0.0377911002579915,0.0992521056072218,0.312944046954695
"S6","marginal_skewness","gaussian","Gaussian copula","mean",0.2,1000,929,0.929,0.200256976298837,0.000256976298836709,8.50231042140092e-05,0.00922218065100926
"S6","marginal_skewness","gaussian","Gaussian copula","mean1",-0.2,1000,929,0.929,-0.200011509471634,-1.15094716335337e-05,0.000130236734705448,0.011418272347589
"S6","marginal_skewness","gaussian","Gaussian copula","scale",0.06,1000,929,0.929,0.0181139814119904,-0.0418860185880096,0.00176406903615285,0.00310497353827785
"S6","marginal_skewness","gaussian","Gaussian copula","shape",10,1000,929,0.929,10.0446522280486,0.0446522280485649,0.099243368347035,0.312016572713175
"S6","marginal_skewness","clayton","Clayton copula","mean",0.2,1000,845,0.845,0.200300545172804,0.000300545172804037,7.96358541392104e-05,0.00892411200023531
"S6","marginal_skewness","clayton","Clayton copula","mean1",-0.2,1000,845,0.845,-0.199953498754538,4.65012454624706e-05,0.000117523077170885,0.010847126697661
"S6","marginal_skewness","clayton","Clayton copula","scale",0.06,1000,845,0.845,0.0603126226159243,0.000312622615924329,6.52437551321373e-05,0.00807608874779635
"S6","marginal_skewness","clayton","Clayton copula","shape",10,1000,845,0.845,10.0507388633964,0.0507388633963947,0.0940415694641439,0.302614458661017
"S7","clayton_asymmetry","direct","Chi-square transformation","mean",0.2,1000,995,0.995,0.197155418376839,-0.00284458162316124,0.00690866699591635,0.0831114768249799
"S7","clayton_asymmetry","direct","Chi-square transformation","mean1",-0.2,1000,995,0.995,-0.200739528001432,-0.000739528001431937,0.013302957088568,0.115394076508842
"S7","clayton_asymmetry","direct","Chi-square transformation","scale",0.06,1000,995,0.995,0.0442085360518004,-0.0157914639481996,0.000285286121309572,0.0059959920167946
"S7","clayton_asymmetry","direct","Chi-square transformation","shape",1,1000,995,0.995,0.985737256229595,-0.0142627437704049,0.0015459911512011,0.0366594593610989
"S7","clayton_asymmetry","gaussian","Gaussian copula","mean",0.2,1000,903,0.903,0.197208105734421,-0.00279189426557909,0.00667195312171062,0.0816795363012737
"S7","clayton_asymmetry","gaussian","Gaussian copula","mean1",-0.2,1000,903,0.903,-0.202381496067949,-0.0023814960679487,0.0127729736490882,0.113055104097572
"S7","clayton_asymmetry","gaussian","Gaussian copula","scale",0.06,1000,903,0.903,0.0195145383199096,-0.0404854616800904,0.00168812290678151,0.00700747306956795
"S7","clayton_asymmetry","gaussian","Gaussian copula","shape",1,1000,903,0.903,1.00098922675902,0.000989226759024028,0.0013932397795618,0.0373336943902069
"S7","clayton_asymmetry","clayton","Clayton copula","mean",0.2,1000,1000,1,0.195754113332138,-0.00424588666786242,0.00645418850468563,0.0802658305547507
"S7","clayton_asymmetry","clayton","Clayton copula","mean1",-0.2,1000,1000,1,-0.199809455431028,0.0001905445689724,0.0118039856464299,0.108700345465419
"S7","clayton_asymmetry","clayton","Clayton copula","scale",0.06,1000,1000,1,0.059000347540296,-0.000999652459703998,4.8474750294078e-05,0.00689369046462835
"S7","clayton_asymmetry","clayton","Clayton copula","shape",1,1000,1000,1,1.0041877400792,0.00418774007919842,0.00133151218286034,0.0362669313038147
"S8","clayton_asymmetry","direct","Chi-square transformation","mean",0.2,1000,995,0.995,0.199137907686707,-0.00086209231329264,0.00665898246481863,0.0816390696388849
"S8","clayton_asymmetry","direct","Chi-square transformation","mean1",-0.2,1000,995,0.995,-0.200899056325633,-0.000899056325632912,0.0139592070364168,0.118205081907684
"S8","clayton_asymmetry","direct","Chi-square transformation","scale",0.06,1000,995,0.995,0.0470072033168511,-0.0129927966831489,0.000210381468091531,0.00645062183530001
"S8","clayton_asymmetry","direct","Chi-square transformation","shape",1,1000,995,0.995,0.975643174394156,-0.0243568256058437,0.00241439499760047,0.0426962782552301
"S8","clayton_asymmetry","gaussian","Gaussian copula","mean",0.2,1000,903,0.903,0.199764457148146,-0.000235542851853798,0.00646302472980542,0.0804371456713179
"S8","clayton_asymmetry","gaussian","Gaussian copula","mean1",-0.2,1000,903,0.903,-0.202192551921859,-0.0021925519218594,0.0129502064239623,0.113840902244227
"S8","clayton_asymmetry","gaussian","Gaussian copula","scale",0.06,1000,903,0.903,0.0226539921968412,-0.0373460078031588,0.00143202592599878,0.00611089040312655
"S8","clayton_asymmetry","gaussian","Gaussian copula","shape",1,1000,903,0.903,0.994644554478906,-0.00535544552109374,0.00171259690389329,0.0410582875490722
"S8","clayton_asymmetry","clayton","Clayton copula","mean",0.2,1000,1000,1,0.197746208818106,-0.00225379118189413,0.00612537347490422,0.078271452781542
"S8","clayton_asymmetry","clayton","Clayton copula","mean1",-0.2,1000,1000,1,-0.199880598228566,0.000119401771433605,0.0118754769752854,0.109029124863822
"S8","clayton_asymmetry","clayton","Clayton copula","scale",0.06,1000,1000,1,0.0596167083468627,-0.000383291653137309,4.44644360240471e-05,0.00666047186152006
"S8","clayton_asymmetry","clayton","Clayton copula","shape",1,1000,1000,1,1.00334479059591,0.00334479059591349,0.00167138057569061,0.0407658534360127
